h3_cell,road_count,total_length_m,avg_lat,avg_lon,primary_ratio
877522110ffffff,1,48756.02,9.505137,-2.670494,1.00
8738224f4ffffff,114,158486.85,34.961314,-2.436724,0.00
87752609affffff,21,201547.53,10.179532,-2.523784,0.00
87390b446ffffff,71,1962351.09,38.032403,-2.294809,0.00
87390bc5effffff,1569,1286175.63,38.371971,-2.453236,0.00
875993d64ffffff,23,351546.79,11.378629,-2.360275,0.00
877504963ffffff,11,330910.71,8.786710,-2.581152,1.00
877522981ffffff,54,142740.21,9.709945,-2.503970,0.00
8755697a9ffffff,4,52564.90,17.986721,-2.551789,0.00
87381554cffffff,15,878594.61,32.268531,-2.364550,1.00
873908200ffffff,110,1153647.86,39.120731,-2.512039,0.03
8759a2883ffffff,66,1076427.81,15.689485,-2.475321,0.00
877522136ffffff,3,88190.91,9.546879,-2.644701,0.00
873815c0dffffff,3,32488.61,32.516693,-2.562244,0.00
873810149ffffff,37,202483.57,31.546620,-2.435507,0.43
87382414effffff,516,2756862.75,37.423594,-2.474822,0.00
877508c72ffffff,118,2737485.82,5.587310,-2.449841,0.00
87390b52cffffff,98,1548587.20,38.191677,-2.553076,1.00
8739768b5ffffff,81,201755.91,41.551678,-2.445270,0.15
8759b18edffffff,16,701150.52,14.856092,-2.641266,0.00
8759a46d2ffffff,1,36356.24,16.686728,-2.421804,0.00
8775018c5ffffff,138,686972.56,7.024769,-2.473284,0.20
8739292d0ffffff,200,405934.62,41.897167,-2.425832,0.24
8775019aeffffff,436,1450145.24,7.254900,-2.498943,0.01
8775050c6ffffff,53,2019008.02,7.622210,-2.413167,0.83
875986d35ffffff,13,344197.80,13.949316,-2.494943,1.00
877508754ffffff,70,671369.39,5.124072,-2.502085,0.00
873976cc2ffffff,168,421820.00,41.209427,-2.514892,0.36
8759a2182ffffff,62,411585.94,15.426657,-2.444949,0.00
8775018e3ffffff,41,75941.49,7.039889,-2.467973,0.00
877501b93ffffff,37,64856.43,6.911126,-2.460058,0.00
87390d05effffff,129,607408.21,40.205850,-2.388457,0.00
8759b32ceffffff,173,232728.89,13.401779,-2.468106,0.00
